"Journal Data Filtered By:  Selected Categories: PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"Anthropology & Medicine","ANTHROPOL MED","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1364-8470","1469-2910","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","679","1"," 379/443 ",
"Journal of Correctional Health Care","J CORRECT HEALTH CAR","SAGE PUBLICATIONS INC","1078-3458","1940-5200","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","671","0.8"," 401/443 ",
"AJAR-African Journal of AIDS Research","AJAR-AFR J AIDS RES","TAYLOR & FRANCIS LTD","1608-5906","1727-9445","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","665","1.3"," 354/443 ",
"Tropical Diseases Travel Medicine and Vaccines","TROP DIS TRAVEL MED","SPRINGERNATURE","2055-0936","2055-0936","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","644","3.1"," 128/443 ",
"Global Transitions","GLOB TRANSIT","KEAI PUBLISHING LTD","2589-7918","2589-7918","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","641","4.2"," 71/443 ",
"Journal of Public Mental Health","J PUBLIC MENT HEALTH","EMERALD GROUP PUBLISHING LTD","1746-5729","2042-8731","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","637","1"," 379/443 ",
"Sante Publique","SANTE PUBLIQUE","SOC FRANCAISE SANTE PUBLIQUE","0995-3914","2104-3841","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","634","0.4"," 425/443 ",
"CHILDRENS HEALTH CARE","CHILD HEALTH CARE","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0273-9615","1532-6888","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","631","1"," 379/443 ",
"FLUORIDE","FLUORIDE","INT SOC FLUORIDE RESEARCH","0015-4725","2253-4083","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","629","0.8"," 401/443 ",
"Public Health Action","PUBLIC HEALTH ACTION","INT UNION AGAINST TUBERCULOSIS and LUNG DISEASE (I U A T L D)","2220-8372","2220-8372","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","623","1.6"," 301/443 ",
"Discover Public Health","DISCOV PUBLIC HEALTH","BMC","N/A","3005-0774","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","621","1.3"," 354/443 ",
"Journal of Arthropod-Borne Diseases","J ARTHROPOD-BORNE DI","IRANIAN SCIENTIFIC SOCIETY MEDICAL ENTOMOLOGY","2322-1984","2322-2271","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","621","1.3"," 354/443 ",
"International Maritime Health","INT MARIT HEALTH","VIA MEDICA","1641-9251","2081-3252","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","620","1.2"," 363/443 ",
"Epidemiologia & Prevenzione","EPIDEMIOL PREV","INFERENZE SCARL","1120-9763","2385-1937","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","616","0.8"," 401/443 ",
"Public Health Ethics","PUBLIC HEALTH ETH-UK","OXFORD UNIV PRESS","1754-9973","1754-9981","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","614","4.3"," 66/443 ",
"Advances in Public Health","ADV PUBLIC HLTH","WILEY","2356-6868","2314-7784","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","613","1.7"," 287/443 ",
"World Medical & Health Policy","WORLD MED HEALTH POL","WILEY","1948-4682","1948-4682","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","610","1.6"," 301/443 ",
"RADIOPROTECTION","RADIOPROTECTION","EDP SCIENCES S A","0033-8451","1769-700X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","605","1.8"," 273/443 ",
"Occupational Health Science","OCCUP HEALTH SCI","SPRINGERNATURE","2367-0134","2367-0142","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","601","2.4"," 193/443 ",
"Emerging Themes in Epidemiology","EMERG THEMES EPIDEMI","BMC","N/A","1742-7622","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","599","5.5"," 42/443 ",
"Journal of Workplace Behavioral Health","J WORKPLACE BEHAV HE","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1555-5240","1555-5259","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","598","2"," 246/443 ",
"Longitudinal and Life Course Studies","LONGITUD LIFE COURSE","BRISTOL UNIV PRESS & POLICY PRESS","1757-9597","1757-9597","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","593","1.1"," 369/443 ",
"Medycyna Pracy-Workers Health and Safety","MED PR","NOFER INST OCCUPATIONAL MEDICINE, POLAND","0465-5893","2353-1339","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","589","1"," 379/443 ",
"Science in One Health","SCI ONE HEALTH","ELSEVIER","N/A","2949-7043","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","578","9.3"," 15/443 ",
"Frontiers in Epidemiology","FRONT EPIDEMIOL","FRONTIERS MEDIA SA","N/A","2674-1199","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","566","2.9"," 139/443 ",
"JMIR Infodemiology","JMIR INFODEMIOL","JMIR PUBLICATIONS, INC","N/A","2564-1891","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","564","4"," 79/443 ",
"GMS Hygiene and Infection Control","GMS HYG INFECT CONTR","GERMAN MEDICAL SCIENCE-GMS","2196-5226","2196-5226","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","556","1.1"," 369/443 ",
"BMC Global and Public Health","BMC GLOB PUBLIC HEAL","SPRINGERNATURE","N/A","2731-913X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","549","5.1"," 51/443 ",
"Epidemiologia","EPIDEMIOLOGIA-BASEL","MDPI","N/A","2673-3986","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","546","3.2"," 120/443 ",
"New Solutions-A Journal of Environmental and Occupational Health Policy","NEW SOLUT","SAGE PUBLICATIONS INC","1048-2911","1541-3772","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","538","1.1"," 369/443 ",
"Health Scope","HEALTH SCOPE","BRIEFLANDS","2251-8959","2251-9513","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","536","1.4"," 341/443 ",
"Infection Disease & Health","INFECT DIS HEALTH","ELSEVIER INC","2468-0451","2468-0451","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","515","1.7"," 287/443 ",
"Anales del Sistema Sanitario De Navarra","AN SIST SANIT NAVAR","GOBIERNO DE NAVARRA","1137-6627","2340-3527","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","496","1.1"," 369/443 ",
"Slovenian Journal of Public Health","SLOVEN J PUBLIC HEAL","INST PUBLIC HEALTH REPUBLIC SLOVENIA","0351-0026","1854-2476","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","491","1.9"," 260/443 ",
"Journal of Infection Prevention","J INFECT PREVENT","SAGE PUBLICATIONS LTD","1757-1774","1757-1782","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","471","1"," 379/443 ",
"Ethics, Medicine and Public Health","ETHICS MED PUBLIC HL","ELSEVIER","2352-5525","2352-5533","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","454","1"," 379/443 ",
"COVID","COVID-BASEL","MDPI","N/A","2673-8112","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","454","0.9"," 390/443 ",
"Hygiene and Environmental Health Advances","HYG ENVIRON HLTH ADV","ELSEVIER","N/A","2773-0492","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","452","4.4"," 60/443 ",
"Journal of Military Veteran and Family Health","J MIL VETERAN FAM HL","UNIV TORONTO PRESS INC","N/A","2368-7924","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","450","0.8"," 401/443 ",
"Journal of Prevention","J PREV","SPRINGER","2731-5533","2731-5541","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","446","2.5"," 186/443 ",
"International Journal of Migration Health and Social Care","INT J MIGR HEALTH SO","EMERALD GROUP PUBLISHING LTD","1747-9894","2042-8650","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","442","0.8"," 401/443 ",
"Journal of Multimorbidity and Comorbidity","J MULTIMORB COMORB","SAGE PUBLICATIONS INC","N/A","2633-5565","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","434","2.7"," 160/443 ",
"Indian Journal of Community Health","INDAN J COMMUNITY HE","INDIAN ASSOC PREVENTIVE & SOCIAL MEDICINE","0971-7587","2248-9509","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","431","0.4"," 425/443 ",
"International Journal of Indigenous Health","INT J INDIG HEALTH","UNIV VICTORIA CENTRE ABORIGINAL HEALTH RESEARCH","2291-9368","2291-9376","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","429","0.7"," 412/443 ",
"Western Pacific Surveillance and Response","WEST PAC SURVEILL RE","WORLD HEALTH ORGANIZATION, REGIONAL OFFICE WESTERN PACIFIC","2094-7321","2094-7313","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","426","1.6"," 301/443 ",
"Public Health Challenges","PUBLIC HEALTH CHALL","WILEY","N/A","2769-2450","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","424","1.8"," 273/443 ",
"Applied Biosafety","APPL BIOSAF","SAGE PUBLICATIONS INC","1535-6760","2470-1246","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","412","1.9"," 260/443 ",
"Science of Diabetes Self-Management and Care","SCI DIABETES SELF-MA","SAGE PUBLICATIONS INC","2635-0106","2635-0114","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","408","1.7"," 287/443 ",
"Salud Colectiva","SALUD COLECT","UNIVERSIDAD NACIONAL DE LANUS","1669-2381","1851-8265","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","401","1.1"," 369/443 ",
"PROGRESS IN PALLIATIVE CARE","PROG PALLIAT CARE","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0969-9260","1743-291X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","386","0.7"," 412/443 ",
"Pravention und Gesundheitsforderung","PRAVENT GESUNDHEIT","SPRINGER HEIDELBERG","1861-6755","1861-6763","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","379","0.4"," 425/443 ",
"Journal of Biosafety and Biosecurity","J BIOSAF BIOSECUR","KEAI PUBLISHING LTD","2097-2105","2588-9338","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","375","3.5"," 96/443 ",
"Tobacco Use Insights","TOB USE INSIGHTS","SAGE PUBLICATIONS LTD","1179-173X","1179-173X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","374","1.8"," 273/443 ",
"INTERNATIONAL JOURNAL OF RISK & SAFETY IN MEDICINE","INT J RISK SAF MED","SAGE PUBLICATIONS INC","0924-6479","1878-6847","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","374","0.9"," 390/443 ",
"Puerto Rico Health Sciences Journal","P R HEALTH SCI J","UNIV PUERTO RICO MEDICAL SCIENCES CAMPUS","0738-0658","2373-6011","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","370","0.3"," 433/443 ",
"Pedagogy in Health Promotion","PEDAGOGY HEAL PROMOT","SAGE PUBLICATIONS INC","2373-3799","2373-3802","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","368","1.3"," 354/443 ",
"Hispanic Health Care International","HISP HEALTH CARE INT","SAGE PUBLICATIONS INC","1540-4153","1938-8993","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","363","1.3"," 354/443 ",
"Journal of Agricultural Safety and Health","J AGRIC SAF HEALTH","AMER SOC AGRICULTURAL & BIOLOGICAL ENGINEERS","1074-7583","1943-7846","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","349","1"," 379/443 ",
"Womens Reproductive Health","WOMEN REPROD HEALTH","TAYLOR & FRANCIS LTD","2329-3691","2329-3713","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","346","1.6"," 301/443 ",
"One Health Advances","ONE HEALTH ADV","SPRINGERNATURE","N/A","2731-9970","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","332","5"," 53/443 ",
"Nepal Journal of Epidemiology","NEPAL J EPIDEMIOL","INT NEPAL EPIDEMIOLOGICAL ASSOC","2091-0800","2091-0800","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","331","1.4"," 341/443 ",
"Sahara J-Journal of Social Aspects of HIV-AIDS","SAHARA J-J SOC ASP H","TAYLOR & FRANCIS LTD","1729-0376","1813-4424","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","329","0.6"," 417/443 ",
"Community Health Equity Research & Policy","COMMUNITY HLTH EQUIT","SAGE PUBLICATIONS INC","2752-535X","2752-5368","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","322","2.2"," 218/443 ",
"Current Medicine Research and Practice","CURR MED RES PRACT","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2352-0817","2352-0825","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","310","0.4"," 425/443 ",
"Environmental Research: Health","ENVIRON RES-HEALTH","IOP Publishing Ltd","N/A","2752-5309","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","301","3"," 133/443 ",
"Sexologies","SEXOLOGIES","JLE","1158-1360","1878-1829","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","291","0.1"," 440/443 ",
"JOURNAL OF CONSUMER HEALTH ON THE INTERNET","J CONS HLTH INTERNET","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1539-8285","1539-8293","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","285","0.8"," 401/443 ",
"Health Behavior and Policy Review","HEALTH BEHAV POLICY","PARIS SCHOLAR PUBLISHING LTD","2326-4403","2326-4403","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","277","0.5"," 421/443 ",
"Global Health Epidemiology and Genomics","GLOB HEALTH EPIDEM G","WILEY","2054-4200","2054-4200","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","269","2.9"," 139/443 ",
"Discover Social Science and Health","DISCOV SOC SCI HLTH","SPRINGERNATURE","N/A","2731-0469","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","259","1.5"," 325/443 ",
"Hygiene","HYGIENE-BASEL","MDPI","N/A","2673-947X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","256","2.3"," 209/443 ",
"Asian Journal of Social Health and Behavior","ASIAN J SOC HEAL BEH","WOLTERS KLUWER MEDKNOW PUBLICATIONS","N/A","2772-4204","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","249","1.7"," 287/443 ",
"Women","WOMEN-BASEL","MDPI","N/A","2673-4184","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","247","1.6"," 301/443 ",
"KONTAKT-JOURNAL OF NURSING AND SOCIAL SCIENCES RELATED TO HEALTH AND ILLNESS","KONTAKT-CZECH REPUB","Univ South Bohemia Ceske Budejovice, Fac Health Social Sciences","1212-4117","1804-7122","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","245","0.5"," 421/443 ",
"Journal of Activity, Sedentary and Sleep Behaviors","J ACT SEDENT SLEEP B","SPRINGERNATURE","N/A","2731-4391","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","239","3.3"," 113/443 ",
"Journal of Environmental Exposure Assessment","J ENVIRON EXPO ASSES","OAE PUBLISHING INC","N/A","2771-5949","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","234","2.7"," 160/443 ",
"International Journal of Noncommunicable Diseases","INT J NONCOMMUN DIS","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2468-8827","2468-8835","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","216","0.7"," 412/443 ",
"Journal of Public Health and Emergency","J PUBLIC HLTH EMERG","AME PUBLISHING COMPANY","N/A","2520-0054","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","208","1.4"," 341/443 ",
"International Journal of One Health","INT J ONE HEALTH","VETERINARY WORLD","2455-5673","2455-8931","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","205","1.4"," 341/443 ",
"Journal of Health Literacy","J HEALTH LIT","Mashhad Univ Med Sciences-Iranian Assoc Health Educ & Health Promotion","N/A","2476-4728","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","188","0.6"," 417/443 ",
"Kesmas-National Public Health Journal","KESMAS","UNIV INDONESIA","1907-7505","2460-0601","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","185","0.4"," 425/443 ",
"Journal of Health and Safety at Work","J HEALTH SAF WORK","IRANIAN OCCUPATIONAL HEALTH ASSOC","2251-807X","2383-2088","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","184","0.5"," 421/443 ",
"Archives des Maladies Professionnelles et de l Environnement","ARCH MAL PROF ENVIRO","ELSEVIER SCIENCE INC","1775-8785","1778-4190","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","181","0.4"," 425/443 ",
"Zentralblatt fur Arbeitsmedizin Arbeitsschutz und Ergonomie","ZENTRALBLATT ARB ARB","SPRINGER HEIDELBERG","0944-2502","2198-0713","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","171","0.7"," 412/443 ",
"Mundo da Saude","MUNDO SAUDE","CENTRO UNIV SAO CAMILO","0104-7809","1980-3990","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","163","0.2"," 435/443 ",
"CABI One Health","CABI ONE HEALTH","CABI PUBLISHING","N/A","2791-223X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","154","2.9"," 139/443 ",
"Journal of Marine Medical Society","J MAR MED SOC","WOLTERS KLUWER MEDKNOW PUBLICATIONS","0975-3605","2589-1235","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","147","0.4"," 425/443 ",
"Traffic Safety Research","TRAFFIC SAF RES","Lund Univ, Dept Tech & Soc","N/A","2004-3082","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","146","1.1"," 369/443 ",
"International Archives of Health Sciences","INT ARCH HEALTH SCI","KASHAN UNIV MEDICAL SCIENCES","N/A","2383-2568","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","143","0.3"," 433/443 ",
"Journal of Epidemiology and Population Health","J EPIDEMIOL POPUL HL","MASSON EDITEUR","2950-4333","2950-4333","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","141","3.7"," 89/443 ",
"ACTA SCIENTIARUM-HEALTH SCIENCES","ACTA SCI-HEALTH SCI","UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO","1679-9291","1807-8648","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","131","0.4"," 425/443 ",
"Portuguese Journal of Public Health","PORT J PUBLIC HEALTH","KARGER","2504-3137","2504-3145","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","129","0.9"," 390/443 ",
"Environnement Risques & Sante","ENVIRON RISQUE SANTE","JLE","1635-0421","1952-3998","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","101","0.2"," 435/443 ",
"Gesundheitsoekonomie und Qualitaetsmanagement","GESUNDH QUAL","THIEME MEDICAL PUBL INC","1432-2625","1439-4049","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","65","0.2"," 435/443 ",
"Revista de Salud Ambiental","REV SALUD AMBIENT","SOC ESPANOLA SANIDAD AMBIENTAL","1577-9572","1697-2791","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","60","0.2"," 435/443 ",
"Journal of the Dow University of Health Sciences","J DOW U HEALTH SCI","Dow Univ Health Sciences","1995-2198","2410-2180","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","48","0.1"," 440/443 ",
"Revista de Salud Publica-Cordoba","REV SALUD PUBLICA-CO","UNIV NAC CORDOBA, ESCUELA SALUD PUBLICA","1853-1180","1852-9429","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","34","<0.1"," 442/443 ",
"Comunidad y Salud","COMUNIDAD SALUD","UNIV CARABOBO","1690-3293","1690-3293","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","21","<0.1"," 442/443 ",
"Polish Hyperbaric Research","POL HYPERB RES","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","1734-7009","2084-0535","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","19","0.2"," 435/443 ",

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
