"Journal Data Filtered By:  Selected Categories: PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"PHARMACOEPIDEMIOLOGY AND DRUG SAFETY","PHARMACOEPIDEM DR S","WILEY","1053-8569","1099-1557","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","8,064","2.6"," 173/443 ",
"AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY","AM J COMMUN PSYCHOL","WILEY","0091-0562","1573-2770","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","8,049","2.8"," 149/443 ",
"Journal of Infection and Public Health","J INFECT PUBLIC HEAL","ELSEVIER SCIENCE LONDON","1876-0341","1876-035X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","8,036","4.8"," 55/443 ",
"Antimicrobial Resistance and Infection Control","ANTIMICROB RESIST IN","BMC","2047-2994","2047-2994","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","8,017","5.2"," 46/443 ",
"INDOOR AIR","INDOOR AIR","WILEY","0905-6947","1600-0668","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","7,995","2.7"," 160/443 ",
"PUBLIC HEALTH REPORTS","PUBLIC HEALTH REP","SAGE PUBLICATIONS INC","0033-3549","1468-2877","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","7,956","2.3"," 209/443 ",
"DRUG SAFETY","DRUG SAFETY","ADIS INT LTD","0114-5916","1179-1942","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","7,886","5.9"," 34/443 ",
"JOURNAL OF AMERICAN COLLEGE HEALTH","J AM COLL HEALTH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0744-8481","1940-3208","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","7,714","1.5"," 325/443 ",
"Pan African Medical Journal","PAN AFR MED J","AFRICAN FIELD EPIDEMIOLOGY NETWORK-AFENET","N/A","1937-8688","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","7,626","0.9"," 390/443 ",
"JOURNAL OF SAFETY RESEARCH","J SAFETY RES","PERGAMON-ELSEVIER SCIENCE LTD","0022-4375","1879-1247","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","7,579","4.3"," 66/443 ",
"CANCER CAUSES & CONTROL","CANCER CAUSE CONTROL","SPRINGER","0957-5243","1573-7225","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","7,445","2.2"," 218/443 ",
"HEALTH PROMOTION INTERNATIONAL","HEALTH PROMOT INT","OXFORD UNIV PRESS","0957-4824","1460-2245","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","7,396","3.6"," 93/443 ",
"TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE","T ROY SOC TROP MED H","OXFORD UNIV PRESS","0035-9203","1878-3503","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","7,355","1.6"," 301/443 ",
"Lancet Regional Health-Western Pacific","LANCET REG HEALTH-W","ELSEVIER","N/A","2666-6065","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","7,348","9.4"," 14/443 ",
"PSYCHOLOGY & HEALTH","PSYCHOL HEALTH","TAYLOR & FRANCIS LTD","0887-0446","1476-8321","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","7,244","2"," 246/443 ",
"SCANDINAVIAN JOURNAL OF PUBLIC HEALTH","SCAND J PUBLIC HEALT","SAGE PUBLICATIONS LTD","1403-4948","1651-1905","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","7,198","1.7"," 287/443 ",
"Cadernos de Saude Publica","CAD SAUDE PUBLICA","CADERNOS SAUDE PUBLICA","0102-311X","1678-4464","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","7,151","2.1"," 231/443 ",
"WORK-A Journal of Prevention Assessment & Rehabilitation","WORK","SAGE PUBLICATIONS INC","1051-9815","1875-9270","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","7,088","1.6"," 301/443 ",
"Preventing Chronic Disease","PREV CHRONIC DIS","CENTERS DISEASE CONTROL & PREVENTION","1545-1151","1545-1151","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","7,032","5.6"," 40/443 ",
"TROPICAL MEDICINE & INTERNATIONAL HEALTH","TROP MED INT HEALTH","WILEY","1360-2276","1365-3156","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","6,994","2.6"," 173/443 ",
"Clinical Epidemiology","CLIN EPIDEMIOL","DOVE MEDICAL PRESS LTD","1179-1349","1179-1349","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","6,859","4.3"," 66/443 ",
"Journal of Exposure Science and Environmental Epidemiology","J EXPO SCI ENV EPID","SPRINGERNATURE","1559-0631","1559-064X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","6,825","5.9"," 34/443 ",
"Journal of Racial and Ethnic Health Disparities","J RACIAL ETHN HEALTH","SPRINGER INT PUBL AG","2197-3792","2196-8837","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","6,788","2.2"," 218/443 ",
"International Journal of Public Health","INT J PUBLIC HEALTH","FRONTIERS MEDIA SA","1661-8556","1661-8564","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","6,690","3.2"," 120/443 ",
"Administration and Policy in Mental Health and Mental Health Services Research","ADM POLICY MENT HLTH","SPRINGER","0894-587X","1573-3289","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","6,588","2.6"," 173/443 ",
"PREVENTION SCIENCE","PREV SCI","SPRINGER/PLENUM PUBLISHERS","1389-4986","1573-6695","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","6,528","2.5"," 186/443 ",
"JOURNAL OF RELIGION & HEALTH","J RELIG HEALTH","SPRINGER","0022-4197","1573-6571","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","6,369","2.2"," 218/443 ",
"JMIR Research Protocols","JMIR RES PROTOC","JMIR PUBLICATIONS, INC","1929-0748","1929-0748","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","6,344","1.6"," 301/443 ",
"SOCIOLOGY OF HEALTH & ILLNESS","SOCIOL HEALTH ILL","WILEY","0141-9889","1467-9566","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","6,324","2.6"," 173/443 ",
"Health Science Reports","HEALTH SCI REP-US","WILEY","N/A","2398-8835","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","6,291","2.9"," 139/443 ",
"JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE","J URBAN HEALTH","SPRINGER","1099-3460","1468-2869","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","6,263","3.2"," 120/443 ",
"Journal of Physical Activity & Health","J PHYS ACT HEALTH","HUMAN KINETICS PUBL INC","1543-3080","1543-5474","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","6,241","2.6"," 173/443 ",
"RADIATION PROTECTION DOSIMETRY","RADIAT PROT DOSIM","OXFORD UNIV PRESS","0144-8420","1742-3406","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","6,239","0.8"," 401/443 ",
"AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV","AIDS CARE","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0954-0121","1360-0451","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","6,205","1.5"," 325/443 ",
"AMERICAN JOURNAL OF INDUSTRIAL MEDICINE","AM J IND MED","WILEY","0271-3586","1097-0274","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","6,194","2.4"," 193/443 ",
"Global Health Action","GLOBAL HEALTH ACTION","TAYLOR & FRANCIS LTD","N/A","1654-9880","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","6,185","3.4"," 101/443 ",
"JMIR Public Health and Surveillance","JMIR PUBLIC HLTH SUR","JMIR PUBLICATIONS, INC","2369-2960","2369-2960","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","6,077","4.4"," 60/443 ",
"Research in Social & Administrative Pharmacy","RES SOC ADMIN PHARM","ELSEVIER SCIENCE INC","1551-7411","1934-8150","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","6,064","3.4"," 101/443 ",
"Globalization and Health","GLOBALIZATION HEALTH","BMC","N/A","1744-8603","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","5,948","6.1"," 32/443 ",
"HEALTH EDUCATION & BEHAVIOR","HEALTH EDUC BEHAV","SAGE PUBLICATIONS INC","1090-1981","1552-6127","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","5,938","2.2"," 218/443 ",
"JOURNAL OF PUBLIC HEALTH","J PUBLIC HEALTH-UK","OXFORD UNIV PRESS","1741-3842","1741-3850","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","5,902","3.5"," 96/443 ",
"Journal of Education and Health Promotion","J EDUC HEALTH PROMOT","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2277-9531","2319-6440","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","5,804","1.5"," 325/443 ",
"COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY","COMMUNITY DENT ORAL","WILEY","0301-5661","1600-0528","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","5,788","2.9"," 139/443 ",
"Journal of Transport & Health","J TRANSP HEALTH","ELSEVIER SCI LTD","2214-1405","N/A","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","5,765","3.3"," 113/443 ",
"INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH","INT ARCH OCC ENV HEA","SPRINGER","0340-0131","1432-1246","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","5,728","2.7"," 160/443 ",
"SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH","SCAND J WORK ENV HEA","SCANDINAVIAN JOURNAL WORK ENVIRONMENT & HEALTH","0355-3140","1795-990X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","5,701","4"," 79/443 ",
