"Journal Data Filtered By:  Selected Categories: HEALTH POLICY & SERVICES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"EVALUATION & THE HEALTH PROFESSIONS","EVAL HEALTH PROF","SAGE PUBLICATIONS INC","0163-2787","1552-3918","HEALTH POLICY & SERVICES","SSCI","1,658","1.9"," 85/125 ",
"JOURNAL OF HEALTH POLITICS POLICY AND LAW","J HEALTH POLIT POLIC","DUKE UNIV PRESS","0361-6878","N/A","HEALTH POLICY & SERVICES","SSCI","1,610","2.7"," 45/125 ",
"Health Care Management Science","HEALTH CARE MANAG SC","SPRINGER","1386-9620","1572-9389","HEALTH POLICY & SERVICES","SSCI","1,594","2.8"," 42/125 ",
"Value in Health Regional Issues","VALUE HEALTH REG ISS","ELSEVIER","2212-1099","2212-1099","HEALTH POLICY & SERVICES","ESCI","1,587","1.9"," 85/125 ",
"JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH","J BEHAV HEALTH SER R","SPRINGER","1094-3412","1556-3308","HEALTH POLICY & SERVICES","SSCI","1,581","1.6"," 98/125 ",
"JOURNAL OF PUBLIC HEALTH POLICY","J PUBLIC HEALTH POL","PALGRAVE MACMILLAN LTD","0197-5897","1745-655X","HEALTH POLICY & SERVICES","SSCI","1,565","2.1"," 76/125 ",
"Australian Journal of Primary Health","AUST J PRIM HEALTH","CSIRO PUBLISHING","1448-7527","1836-7399","HEALTH POLICY & SERVICES","SSCI","1,463","1.4"," 108/125 ",
"JOURNAL OF PALLIATIVE CARE","J PALLIAT CARE","SAGE PUBLICATIONS INC","0825-8597","2369-5293","HEALTH POLICY & SERVICES","SSCI","1,462","1.6"," 98/125 ",
"HEALTHCARE MANAGEMENT FORUM","HEALTHC MANAG FORUM","SAGE PUBLICATIONS INC","0840-4704","2352-3883","HEALTH POLICY & SERVICES","ESCI","1,380","2.4"," 56/125 ",
"Journal of Policy and Practice in Intellectual Disabilities","J POLICY PRACT INTEL","WILEY","1741-1122","1741-1130","HEALTH POLICY & SERVICES","SSCI","1,366","2.2"," 67/125 ",
"Zeitschrift fur Evidenz Fortbildung und Qualitaet im Gesundheitswesen","Z EVIDENZ FORTBILD Q","ELSEVIER GMBH","1865-9217","2212-0289","HEALTH POLICY & SERVICES","ESCI","1,313","1.5"," 101/125 ",
"CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS","CAMB Q HEALTHC ETHIC","CAMBRIDGE UNIV PRESS","0963-1801","1469-2147","HEALTH POLICY & SERVICES","SSCI","1,230","2.3"," 61/125 ",
"Israel Journal of Health Policy Research","ISR J HEALTH POLICY","BMC","2045-4015","2045-4015","HEALTH POLICY & SERVICES","SSCI","1,224","2.4"," 56/125 ",
"Pharmacoeconomics-Open","PHARMACOECON-OPEN","SPRINGER INT PUBL AG","2509-4262","2509-4254","HEALTH POLICY & SERVICES","ESCI","1,214","2.4"," 56/125 ",
"INTERNATIONAL JOURNAL OF HEALTH CARE QUALITY ASSURANCE","INT J HEALTH CARE Q","EMERALD GROUP PUBLISHING LTD","0952-6862","1758-6542","HEALTH POLICY & SERVICES","ESCI","1,124","2"," 80/125 ",
"International Journal of Healthcare Management","INT J HEALTHCARE MAN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2047-9700","2047-9719","HEALTH POLICY & SERVICES","ESCI","1,115","1"," 116/125 ",
"Health Affairs Scholar","HLTH AFF SCH","OXFORD UNIV PRESS","N/A","2976-5390","HEALTH POLICY & SERVICES","ESCI","1,045","4.1"," 12/125 ",
"Health Systems & Reform","HEALTH SYST REFORM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2328-8604","2328-8620","HEALTH POLICY & SERVICES","SSCI","1,042","2.8"," 42/125 ",
"Health Sociology Review","HEALTH SOCIOL REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1446-1242","1839-3551","HEALTH POLICY & SERVICES","SSCI","965","3"," 35/125 ",
"Health Economics Policy and Law","HEALTH ECON POLICY L","CAMBRIDGE UNIV PRESS","1744-1331","1744-134X","HEALTH POLICY & SERVICES","SSCI","965","2.2"," 67/125 ",
"Learning Health Systems","LEARN HEALTH SYST","WILEY","2379-6146","2379-6146","HEALTH POLICY & SERVICES","ESCI","928","2.3"," 61/125 ",
"Leadership in Health Services","LEADERSH HEALTH SERV","EMERALD GROUP PUBLISHING LTD","1751-1879","1751-1887","HEALTH POLICY & SERVICES","ESCI","918","2.3"," 61/125 ",
"Health Information Management Journal","HEALTH INF MANAG J","SAGE PUBLICATIONS INC","1833-3583","1833-3575","HEALTH POLICY & SERVICES","SSCI","878","2.3"," 61/125 ",
"Journal of Healthcare Leadership","J HEALTHC LEADERSH","DOVE MEDICAL PRESS LTD","1179-3201","1179-3201","HEALTH POLICY & SERVICES","ESCI","861","4.1"," 12/125 ",
"Journal of Health Management","J HEALTH MANAG","SAGE PUBLICATIONS INDIA PVT LTD","0972-0634","0973-0729","HEALTH POLICY & SERVICES","ESCI","857","0.8"," 119/125 ",
